LEA,school,year,r_1100,r_1110,r_1111,r_1112,r_1113,r_1114,r_1115,r_1118,r_1124,r_1125,r_1128,r_1129,r_1134,r_1135,r_1136,r_1140,r_1154,r_1160,r_1162,r_1164,r_1174,r_1178,r_1184,r_1190,r_1199,r_1200,r_1300,r_1310,r_1320,r_1330,r_1340,r_1400,r_1410,r_1420,r_1440,r_1500,r_1510,r_1515,r_1540,r_1610,r_1620,r_1690,r_1700,r_1710,r_1720,r_1730,r_1740,r_1741,r_1742,r_1743,r_1744,r_1745,r_1746,r_1747,r_1748,r_1750,r_1760,r_1770,r_1780,r_1790,r_1800,r_1900,r_1910,r_1920,r_1930,r_1940,r_1950,r_1960,r_1965,r_1970,r_1980,r_1990,r_2000,r_3000,r_3005,r_3010,r_3013,r_3015,r_3020,r_3025,r_3100,r_3105,r_3110,r_3115,r_3120,r_3125,r_3128,r_3130,r_3155,r_3160,r_3200,r_3209,r_3210,r_3211,r_3212,r_3213,r_3215,r_3218,r_3220,r_3221,r_3230,r_3270,r_3300,r_3322,r_3336,r_3400,r_3405,r_3410,r_3415,r_3423,r_3435,r_3448,r_3467,r_3468,r_3470,r_3471,r_3477,r_3480,r_3500,r_3515,r_3520,r_3522,r_3555,r_3560,r_3600,r_3610,r_3612,r_3613,r_3635,r_3636,r_3637,r_3641,r_3646,r_3650,r_3655,r_3661,r_3687,r_3700,r_3701,r_3703,r_3704,r_3706,r_3708,r_3709,r_3710,r_3713,r_3714,r_3716,r_3717,r_3718,r_3719,r_3720,r_3721,r_3725,r_3760,r_3762,r_3764,r_3769,r_3770,r_3772,r_3774,r_3776,r_3780,r_3785,r_3795,r_3799,r_3800,r_3805,r_3807,r_3808,r_3810,r_3816,r_3851,r_3861,r_3862,r_3865,r_3866,r_3867,r_3868,r_3876,r_3878,r_3881,r_3882,r_3900,r_3990,r_5000,r_5100,r_5110,r_5120,r_5130,r_5140,r_5200,r_5210,r_5300,r_5400,r_5500,r_5600,r_5900,r_6100,r_6200,r_6300,r_6400,e_1000,e_2100,e_2110,e_2120,e_2130,e_2140,e_2150,e_2160,e_2170,e_2180,e_2190,e_2200,e_2210,e_2212,e_2213,e_2219,e_2220,e_2230,e_2240,e_2290,e_2300,e_2310,e_2311,e_2312,e_2315,e_2316,e_2317,e_2319,e_2320,e_2321,e_2329,e_2400,e_2410,e_2490,e_2500,e_2510,e_2520,e_2530,e_2540,e_2560,e_2570,e_2580,e_2590,e_2600,e_2610,e_2620,e_2630,e_2640,e_2650,e_2660,e_2670,e_2680,e_2700,e_2710,e_2720,e_2730,e_2790,e_2795,e_2900,e_3100,e_3200,e_3300,e_3310,e_3350,e_3360,e_3370,e_3390,e_3395,e_4000,e_4100,e_4200,e_4300,e_4500,e_4502,e_4600,e_4700,e_4900,e_5000,e_5100,e_5200,e_5300,e_5900
Alianza Academy,Alianza Academy,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,,,,,,,,1064.0,,,,,,,136597.0,,,241554.0,5298.0,,4123.0,3754.0,,,,,,,,,,,,,,,17144.0,,,,,,,2200.0,,,,,,,,,,,,,28316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116400.0,,,6666.0,,,,,,,,,,,,160.0,,,,,,,,,,,,,,10512.0,,,,,,,,,,,,,,19506.0,,,,,,,,,45728.0,7598.0,,,,,,,,,,,,,,,,,,,11642.0,,,,,,,,,,,74903.0,,,88317.0,,,,,,,,,201109.0,,,,,,,,,,,,,,,,2290.0,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Alpine District,2016.0,,44974559.58,1897475.78,23690571.6,1463548.44,21054354.15,1300689.04,,12331836.02,761832.15,56882141.61,3514046.45,,,,,,2645731.99,2040688.42,1813606.5899999999,1062255.28,4899785.89,,-1465720.0,,,,150018.88,283513.55,,,,1029181.18,,,,3378522.2199999997,,,6915698.56,190117.19,,364069.98,1227751.42,308554.91,3919935.04,7147990.16,,,,,,,,,1541735.76,,,,4480138.47,276059.24,,1036416.7300000001,1831363.01,,650218.69,,,,,,18151991.39,,,,202717848.0,,,,,,25244545.18,,3813204.57,386460.91,597140.0,,,8815192.61,,,259238.0,,285670.78,207295.01,461178.92,45804.0,51555.81,,2018245.47,14414612.0,,,,1718785.2,,,2658562.0,8755810.0,,,,,106881.0,,,,,,,4914079.31,,27305197.0,5502380.0,,,,,169741.76,43642.97,,634565.94,,11635917.0,,1712432.0,,,10000.0,,,,,,910388.18,,,,,8998.95,,,,,,,12400.0,,4045325.0,,10994.0,,,,,176736.94,,1527678.35,890250.71,,171136.12,,,,,,,,526661.04,17221237.0,,705877.0,326404.16,72916.98000000001,,873649.31,,,,,,,,2476012.15,,,,,,,,,320993861.99999994,,204614.22,9052970.69,1374810.7100000002,2209639.87,,842136.0800000001,,,,,11438869.429999998,,,,7227170.3100000005,,,,,222690.81,,29271.0,,76960.0,49351.3,597423.0,,478386.85000000003,428119.36000000004,,30217434.48999999,,,2612988.709999999,871201.81,,,377341.57,1510053.4400000004,7514856.230000002,,35956419.94999999,,,,,,,,,17776035.330000002,,,,,,-552496.1399999999,22110858.43,,,1722171.33,,,,17648497.579999994,,,5972341.5,3023720.36,1674257.62,,61195417.48,,7627800.899999999,,,,,,59388563.32
Alpine District,Alpine District,2017.0,,46870921.0,1965698.0,25125637.0,1502146.0,22279373.0,1331980.0,,12975036.0,775717.0,58240441.0,3481927.0,,,,,,2835047.0,2166484.0,1921062.0,1118786.0,5021842.0,,-1662361.0,,,,127082.0,243008.0,,,,1074491.0,,,,7268434.0,,,7121182.0,161127.0,,209779.0,694966.0,190542.0,2142085.0,3952667.0,,,,,,,,,1052566.0,,,,2805999.0,326600.0,,775586.0,1884792.0,,350180.0,,,1139584.0,,,25575407.0,,,,213530102.0,,,,,,27816318.0,,3800594.0,116105.0,1582076.0,473917.0,,10244309.0,,,277346.0,,317574.0,266307.0,478268.0,,1181.0,,1816555.0,15116675.0,,,,1643028.0,,,906498.0,9146370.0,,,,,107264.0,,,,,,,5343242.0,,31641212.0,6387018.0,,,,,135000.0,,,589487.0,,8952145.0,262903.0,1499855.0,7534.0,,,,,,,,669746.0,,,,,4596.0,,,,,,,6545.0,,4295396.0,,29397.0,,,,,191833.0,,1529973.0,889199.0,,103337.0,,,,,,,,554938.0,17814850.0,,563092.0,792658.0,523562.0,,,,115000000.0,20984994.0,32730000.0,-38844732.0,,,10862426.0,,,,,,,,,213980954.0,,157912.0,5982313.0,740128.0,1559423.0,,1019417.0,,,,,10839902.0,,,,4869367.0,,,,,215972.0,,47371.0,,73000.0,57449.0,612049.0,,432430.0,613456.0,,18527674.0,,,3882838.0,1499226.0,413390.0,,403431.0,1701336.0,7856125.0,,32722561.0,,,,,,,,,17420983.0,,,,,,-641810.0,17227923.0,,,,,,,18203448.0,,,5951734.0,3829567.0,3651144.0,,22679516.0,,8100666.0,,,,,,62322705.0
Alpine District,Alpine District,2018.0,,48610864.0,1997791.0,26377766.0,1513632.0,24913987.0,1319969.0,,12211928.0,700756.0,60948626.0,3497408.0,,,,,,3027390.0,2293711.0,2000240.0,1061903.0,5299863.0,,,,,,132608.0,242858.0,,,,1165894.0,,,,13199848.0,,,7439512.0,143013.0,,,645066.0,193965.0,1980718.0,4427095.0,,,,,,,,,1002718.0,,,,2676603.0,329559.0,,876070.0,2350862.0,,358020.0,,,,1440739.0,,23770299.0,,,,226668027.0,,,,,63887786.0,,,,,,,,,,11117466.0,,,,,,,,,,,,5206441.0,,,31728286.0,,,,,,,,,,,,,,,,,,,40006720.0,,,,,,,,,,,,,9430104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7232763.0,,,,,,,,,,,,,,,,,,598450.0,,,132385000.0,13641717.0,,,,,63969.0,3696188.0,,,,,,,,224627358.0,236787.0,432294.0,6547958.0,839131.0,1554106.0,,1540729.0,65040.0,,,,10732943.0,,,,5067622.0,,,,178634.0,209099.0,,,,83600.0,36397.0,697469.0,,510936.0,1099655.0,,20079053.0,,,4302980.0,1532017.0,405959.0,,406098.0,1828877.0,8685085.0,,32243942.0,,,,,,,,,24067577.0,,,,,,,18736714.0,,17965336.0,,,,,,,,7231602.0,1866766.0,2900653.0,11829135.0,,,9762338.0,,,,,,70782178.0
Alpine District,Alpine District,2019.0,,55285172.0,2529789.0,29354147.0,1803955.0,27529615.0,1573146.0,,13589883.0,835164.0,62365230.0,3832646.0,,,,,,3423107.0,2440967.0,2128655.0,1130077.0,5186027.0,,,,,,191146.0,280100.0,,,,1256172.0,,,,19070118.0,,,7754594.0,150423.0,,,,,,,,,,,,,,,1931.0,,,,14671.0,215224.0,,432.0,2443261.0,,,,,,1235616.0,,17125387.0,,,,229120587.0,,,,,70601976.0,,,,,,,,,,19525154.0,,,,,,,,,,,,8703379.0,,,19556042.0,,,,,,,,,,,,,12755090.0,,,,,,43372080.0,,,,,,,,,,,,,8147020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6495480.0,,,,,,,,,,,,,,,,,,959584.0,,,85000000.0,7622265.0,,,,,57286.0,189204.0,,,,,,,,40808034.0,132852.0,538274.0,168393.0,926114.0,32991.0,103682.0,1726702.0,,,,,11801238.0,,,,700873.0,,,,98248.0,240429.0,,19850.0,,72050.0,68369.0,980243.0,,708525.0,1288267.0,,305021.0,,,4244329.0,1903085.0,396335.0,,524721.0,1967337.0,11131126.0,,23225652.0,,,,,,,,,20019429.0,,,,,,,8932891.0,,16489483.0,308783.0,,,,,,174700.0,20807047.0,223377.0,567815.0,2072680.0,,,5891933.0,,,,,,72250286.0
Alpine District,Alpine District,2020.0,,65345415.0,3001004.0,33774098.0,2146413.0,30620035.0,1812165.0,,15863592.0,1008164.0,63255361.0,4020008.0,,,,,,3740060.0,2675010.0,2258447.0,1256444.0,5010015.0,,,,,,134190.0,269395.0,,,,902264.0,,,,14754486.0,,,5935202.0,98658.0,,,,,,16761.0,,,,,,,,,703.0,,8704.0,,,221365.0,,612.0,4107974.0,,,,,,1358089.0,,18035045.0,,,,238426993.0,,,,,77205268.0,,,,,,,,,,12557555.0,,,,,,,,,,,,10619408.0,,,20370974.0,,,,,,,,,,,,,25518493.0,,,,,,35815686.0,,,,,,,,,,,,,4686678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8365186.0,,,,,,,,,,,,,,,,,,726399.0,,,73750000.0,10378055.0,,,1426500.0,-1426500.0,1556723.0,6500000.0,,,,,,,,52292939.0,120382.0,1099295.0,547788.0,2124038.0,893570.0,108833.0,1995959.0,,,,5176.0,12416321.0,,,,630207.0,,,,,257628.0,,29100.0,,76100.0,46769.0,1409730.0,,567504.0,1508766.0,,422666.0,,,5616452.0,2031620.0,514822.0,,744590.0,2218362.0,11067503.0,,24069048.0,,,,,,,,,27043364.0,,,,,,,7974865.0,7029.0,21034156.0,9479.0,,,,,,6767868.0,2046855.0,413732.0,3019316.0,36099336.0,,,2654057.0,,,,,,76983731.0
Alpine District,Alpine District,2021.0,,52419012.0,3033360.0,51517456.0,2981189.0,23988388.0,1270732.0,,17032959.0,985656.0,74217335.0,4294776.0,,,,,,3778150.0,3713169.0,1582738.0,1227667.0,5349285.0,,16603344.0,,,,9333.0,374800.0,,,,713121.0,,,,20508156.0,,,596754.0,26663.0,,,,5910.0,,,,,15354.0,,,,46992.0,,503.0,158.0,1854.0,810.0,,11065.0,,5574.0,3109840.0,,,,,,1520092.0,,18776643.0,,,,239712735.0,,,,,76040653.0,,,,,,,,,,22460310.0,,,,,,,,,,,,10700929.0,,,21398471.0,,,,,,,,,,,,,30327334.0,,,,,,28818110.0,,,,,,,,,,,,,4846622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800001.0,,,,,,,,,,,,,,,,,,603882.0,,,32320000.0,4207964.0,,,1403500.0,-1403500.0,5666513.0,4250000.0,,,,,,,,52170006.0,270107.0,1066477.0,613641.0,2140631.0,1131544.0,111266.0,1925454.0,,,,5809.0,13514308.0,,,,804259.0,,,,,249545.0,,900.0,,74150.0,122047.0,1333390.0,,556164.0,1504879.0,,1457937.0,,,3678598.0,2042977.0,392036.0,,756288.0,2075796.0,12106535.0,,25402819.0,,,,,,,,,22645841.0,,,,,,,8852943.0,4223.0,18629680.0,115835.0,,,667694.0,,,,2206651.0,396244.0,738011.0,75878130.0,,,1891697.0,,,,,,83203036.0
Alpine District,Alpine School,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.0,,,,,,,,11718.0,,2981.0,,,,,,,,,3586.0,,,,23305.0,,,9070.0,,,,,,,,,4714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,,,,,2615878.0,,,,348.0,,,,,,,,2544.0,,,,93425.0,,,,,,,,,,,,,,,,290584.0,,,123.0,,,,,,,,133387.0,,,,,,,,,,,,,,,,117243.0,,56356.0,,,,,,,,,,,,,,47304.0,,,,,,
Alpine District,Alpine School,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119.0,,,,,,,,7905.0,,,,,,,,,,,1787.0,114.0,,,,,,3100.0,11030.0,,,,,,,,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484589.0,,,,128.0,,,,,,,,2028.0,,,,78111.0,,,,,,,,,,,,,,,,252400.0,,,16.0,,,,,,,,162327.0,,,,,,,,,,,,,,,,142954.0,,59852.0,,,,,,,,,,,,,,23313.0,,,,,,
Alpine District,Alpine School,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,,4314.0,,,,,,,,,,,1700.0,578.0,,,,,,13078.0,13230.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2615331.0,,,37427.0,198.0,,,,,,,,2865.0,,,,75066.0,,,,,,,,,,,,,,,,251618.0,,,89.0,,,,,,,,151593.0,,,,,,,,,,,,,,,,144798.0,,,,,,60343.0,,,,,,,,,,43897.0,,,,,,
Alpine District,American Fork High,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050.0,,,,,,,,,9079.0,,,,,,42985.0,171587.0,,930982.0,646019.0,,,,,,,,,186580.0,,,,457132.0,,,24466.0,1000.0,,74303.0,,,,,,11279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10434836.0,,,623562.0,,,,,,,,,28609.0,,,,176629.0,,,,,,,,,,,,,,,,967159.0,,,42089.0,,,,,,,,496338.0,,,,,,,,,,,,,,,,183633.0,,,,,,,153487.0,,,,,,,,,16786.0,,,,,,
Alpine District,American Fork High,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5225.0,,,,,,,,,16025.0,,,,,,,196067.0,2650.0,758792.0,798314.0,,,,,,,,,203407.0,,,,517248.0,,,31100.0,2000.0,,73127.0,,,,,,7644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11080233.0,17487.0,,643750.0,12605.0,85306.0,,,,,,,35597.0,,,,186109.0,,,,,,,,,,,,,,,,968343.0,,,30154.0,,,,,,,,504407.0,,,,,,,,,,,,,,,,147795.0,,35683.0,,,,,,,,,7978.0,,,,,60666.0,,,,,,
